street_name,street_type,lamp_type,longitude,latitude,wattage
Sharps,Road,CFL,147.282706059122,-42.8645223146273,42.0
Ruth,Drive,LED,147.284611580302,-42.869307859937,18.0
Firth,Road,LED,147.280395902975,-42.857455429461,18.0
Ruth,Drive,LED,147.283423321608,-42.8722856858814,18.0
Lenah Valley,Road,HPS,147.28259483073,-42.8629067056507,150.0
Jabez,Crescent,LED,147.293611591172,-42.8702754631975,18.0
Alwyn,Road,LED,147.283552148312,-42.8602683342007,18.0
Castlereagh,Court,LED,147.273853061396,-42.8567716791041,18.0
Cascade (nr Brewery),Road,HPS,147.292874173426,-42.8959409470448,250.0
Cascade (nr Brewery),Road,HPS,147.293728310245,-42.8956744188405,250.0
Marlyn,Road,LED,147.285037803083,-42.8969566697024,18.0
Rangeview,Crescent,CFL,147.280210637259,-42.8645433978017,42.0
Pottery,Road,LED,147.288345070405,-42.8666173371156,18.0
Lenah Valley,Road,HPS,147.2879769145,-42.8627176739157,150.0
Huon,Road,HPS,147.259989732516,-42.9215402898223,150.0
Lighton,Way,CFL,147.285538839088,-42.87324499432,42.0
Cuthbertson,Place,CFL,147.286853538729,-42.8721190823719,42.0
Rosehill,Crescent,LED,147.288893583896,-42.8690327312759,18.0
Copley,Road,CFL,147.286876833299,-42.8727023322415,42.0
Lenah Valley,Road,LED,147.274443084225,-42.8668440552925,18.0
Athleen,Avenue,LED,147.286435705737,-42.8627658280154,18.0
Augusta,Road,HPS,147.29043587599,-42.8631687518296,150.0
Augusta,Road,HPS,147.291960637831,-42.863608753994,150.0
Yaizu,Court,CFL,147.278968937735,-42.8639615269159,42.0
Sharps,Road,LED,147.282930167859,-42.8634441872068,18.0
Girrabong,Road,LED,147.281847879708,-42.8623846635362,18.0
Girrabong,Road,LED,147.278448708377,-42.8589587724967,18.0
Judith,Drive,CFL,147.28415719579,-42.8691435433918,42.0
Clyde,Court,LED,147.274697324457,-42.858023105502,18.0
Doyle,Avenue,LED,147.289633500654,-42.8671091149725,18.0
Castlereagh,Court,LED,147.27363559651,-42.8571782664022,18.0
Giblin,Street,LED,147.294998370647,-42.8669403107669,18.0
Pottery,Road,LED,147.285743024252,-42.8715437470472,18.0
Stratton,Avenue,LED,147.278644321623,-42.8606861622684,18.0
Daly,Street,CFL,147.276263648258,-42.8639018974793,42.0
Strickland,Avenue,LED,147.274686744072,-42.8999285695977,18.0
Athleen,Avenue,LED,147.285847711045,-42.8661169524773,18.0
Girrabong,Road,LED,147.279536995805,-42.8600447809218,18.0
Creek,Road,HPS,147.289191136711,-42.8596341971697,150.0
